ref_no|name|pointx_class|feature_easting|feature_northing|pos_accuracy|uprn|topo_toid|topo_toid_version|usrn|usrn_mi|distance|address_detail|street_name|locality|geographic_county|postcode|admin_boundary|telephone_number|url|brand|qualifier_type|qualifier_data|provenance|supply_date
18267848|Kingdom Hall of Jehovah's Witnesses|06340459|336410|387855|1|38292547|osgb1000035024385|4|23604760|3|11.5||||Merseyside|L8|Liverpool District||www.jw.org/en/|Jehovah's Witnesses|Religion|Jehovah's Witnesses (Christian)|Ordnance Survey|2022-03-01
18711423|Synagogue|06340459|338027|388556|1|38154095|osgb1000035150261|2|23604575|3|24.4||||Merseyside|L17|Liverpool District||||Religion|Judaism|Ordnance Survey|2022-03-01
20130386|Place of Worship|06340459|338671|388054|1|38066400|osgb1000035150864|10|23601207|3|51||||Merseyside|L18|Liverpool District||||Religion|Not Identified Generic Term|Ordnance Survey|2022-03-01
20130391|Wavertree Church Institute|06340459|339251|389037|1|38032815|osgb1000035218051|3|23601001|3|19||||Merseyside|L15|Liverpool District||||Religion|Not Identified (Christian)|Ordnance Survey|2022-03-01
20132780|Chapel|06340459|338511|386777|1||osgb1000035146400|6|23605060|3|31||||Merseyside|L17|Liverpool District||||Religion|Not Identified (Christian)|Ordnance Survey|2022-03-01
20132782|Chapel|06340459|336377|387590|1|38115493|osgb1000035023854|2|23603469|3|11.1||||Merseyside|L8|Liverpool District||||Religion|Not Identified (Christian)|Ordnance Survey|2022-03-01
18267974|Nelson Memorial|03170245|334152|390540|1||osgb1000000242061755|4|23602318|3|32.5||||Merseyside|L2|Liverpool District||||||Ordnance Survey|2022-03-01
18267588|Memorial|03170245|335785|389230|1||osgb5000005204410770|1|23603631|3|14.5||||Merseyside|L8|Liverpool District||||||Ordnance Survey|2022-03-01
18268041|Memorial|03170245|333841|390150|2||Not Assigned|0|23602933|3|106.6||||Merseyside|L3|Liverpool District||||||Ordnance Survey|2022-03-01
18268042|War Memorial|03170245|333874|390251|1||osgb1000000241687153|3|23604725|3|39.3||||Merseyside|L3|Liverpool District||||||Ordnance Survey|2022-03-01
18268053|Memorial|03170245|334688|390881|1||osgb5000005269331573|1|23604746|3|8||||Merseyside|L3|Liverpool District||||||Ordnance Survey|2022-03-01
18268076|Titanic Memorial|03170245|333744|390386|1||osgb1000000241687145|4|23603973|3|22.9||||Merseyside|L3|Liverpool District||||||Ordnance Survey|2022-03-01
18268077|War Memorial|03170245|333835|390090|1||osgb1000000241687109|6|23602933|3|109.1||||Merseyside|L3|Liverpool District||||||Ordnance Survey|2022-03-01
18268078|Edward VII Memorial|03170245|333838|390232|1||osgb1000002733085543|3|23604725|3|50.2||||Merseyside|L3|Liverpool District||||||Ordnance Survey|2022-03-01
18267703|War Memorial|03170245|338952|389713|2||Not Assigned|0|23604194|3|9.7||||Merseyside|L15|Liverpool District||||||Ordnance Survey|2022-03-01
18267705|War Memorial|03170245|339210|389056|1||osgb1000002069601348|2|23601001|3|20.2||||Merseyside|L15|Liverpool District||||||Ordnance Survey|2022-03-01
18267729|War Memorial|03170245|337608|389028|1||osgb1000000242816860|3|23604170|3|107||||Merseyside|L15|Liverpool District||||||Ordnance Survey|2022-03-01
18267802|Monument|03170245|337225|388103|1||osgb1000000242791373|2|23600060|3|41.9||||Merseyside|L17|Liverpool District||||||Ordnance Survey|2022-03-01
18267810|Waterfall|03190257|336564|386654|2||Not Assigned|0|23605692|3|96||||Merseyside|L17|Liverpool District||||||Ordnance Survey|2022-03-01
18267811|Waterfall|03190257|336573|386660|2||Not Assigned|0|23605692|3|86.3||||Merseyside|L17|Liverpool District||||||Ordnance Survey|2022-03-01
18268252|Monument|03170245|335196|390176|1||osgb1000000242220083|4|23603200|3|18.2||||Merseyside|L3|Liverpool District||||||Ordnance Survey|2022-03-01
18267879|War Memorial|03170245|337385|389516|1||osgb1000000242803982|3|23601482|3|8.2||||Merseyside|L7|Liverpool District||||||Ordnance Survey|2022-03-01
18711287|Statue|03170245|336530|388606|2||Not Assigned|0|23603631|3|8.2||||Merseyside|L8|Liverpool District||||||Ordnance Survey|2022-03-01
18711334|Sundial|03170245|338242|387915|2||Not Assigned|0|23602020|3|67.5||||Merseyside|L17|Liverpool District||||||Ordnance Survey|2022-03-01
18711368|Obelisk|03170245|336662|388488|2||Not Assigned|0|23601204|3|71.4||||Merseyside|L8|Liverpool District||||||Ordnance Survey|2022-03-01
18711370|Statue|03170245|337773|387429|1||osgb5000005243945993|1|23600060|3|271||||Merseyside|L17|Liverpool District||||||Ordnance Survey|2022-03-01
18711380|Statue|03170245|337634|387762|1||osgb5000005197487309|2|23600060|3|212.9||||Merseyside|L17|Liverpool District||||||Ordnance Survey|2022-03-01
18711382|Sundial|03170245|338486|387972|2||Not Assigned|0|23602020|3|35.9||||Merseyside|L18|Liverpool District||||||Ordnance Survey|2022-03-01
18711386|Statue|03170245|335951|389086|1||osgb5000005279487380|1|23604078|3|22.9||||Merseyside|L8|Liverpool District||||||Ordnance Survey|2022-03-01
18711793|Statue|03170245|334847|390679|1||osgb1000000242057505|3|23603960|3|55.2||||Merseyside|L1|Liverpool District||||||Ordnance Survey|2022-03-01
18711794|Statue|03170245|334855|390712|1||osgb1000000242057722|1|23604864|3|28.8||||Merseyside|L1|Liverpool District||||||Ordnance Survey|2022-03-01
18711795|Statue|03170245|334879|390669|1||osgb1000000242057513|1|23603960|3|68.8||||Merseyside|L1|Liverpool District||||||Ordnance Survey|2022-03-01
18711796|Statue|03170245|334894|390707|1||osgb1000000242057023|1|23604864|3|31.7||||Merseyside|L1|Liverpool District||||||Ordnance Survey|2022-03-01
18711797|Statue|03170245|334945|390586|1||osgb1000000242057426|3|23603953|3|29.1||||Merseyside|L1|Liverpool District||||||Ordnance Survey|2022-03-01
18711798|Statue|03170245|334976|390602|1||osgb1000000242057358|2|23602736|3|22||||Merseyside|L1|Liverpool District||||||Ordnance Survey|2022-03-01
18711800|Statue|03170245|335419|390708|1||osgb1000002107190306|4|23602791|3|13.9||||Merseyside|L3|Liverpool District||||||Ordnance Survey|2022-03-01
18711833|Statue|03170245|334996|390672|1||osgb1000000242057296|2|23602736|3|23.4||||Merseyside|L1|Liverpool District||||||Ordnance Survey|2022-03-01
18711883|Statue|03170245|334900|390635|1||osgb1000000242057319|1|23603960|3|59.1||||Merseyside|L1|Liverpool District||||||Ordnance Survey|2022-03-01
18711884|Statue|03170245|334916|390686|1||osgb1000000242057300|1|23604864|3|51.5||||Merseyside|L1|Liverpool District||||||Ordnance Survey|2022-03-01
20130383|Derelict Church|03170244|336004|388985|1|38121144|osgb1000035027889|11|23604597|3|28.6||||Merseyside|L8|Liverpool District||||||Ordnance Survey|2022-03-01
18845735|Statue|03170245|337676|387987|1||osgb1000002078414112|2|23601200|3|302.7||||Merseyside|L17|Liverpool District||||||Ordnance Survey|2022-03-01
18845786|Statue|03170245|334835|390648|1||osgb1000000242057563|1|23603960|3|24||||Merseyside|L1|Liverpool District||||||Ordnance Survey|2022-03-01
17435976|St Michael's Church|06340459|336907|387057|1|38133295|osgb1000035025873|4|23603970|3|18.6||||Merseyside|L17|Liverpool District||||Religion|Not Identified (Christian)|Ordnance Survey|2022-03-01
17435977|Christ Church|06340459|336990|387966|1|38092164|osgb1000035023275|8|23601488|3|21.6||||Merseyside|L17|Liverpool District||||Religion|Not Identified (Christian)|Ordnance Survey|2022-03-01
17435979|St Patrick's R C Church|06340459|335481|388808|1|38115376|osgb1000034979795|6|23603468|3|30.9||||Merseyside|L8|Liverpool District||||Religion|Roman Catholic (Christian)|Ordnance Survey|2022-03-01
17435980|Dingle Mount Church|06340459|336173|387349|1|38044070|osgb1000035026002|2|23601346|3|21.1||||Merseyside|L8|Liverpool District||||Religion|Not Identified (Christian)|Ordnance Survey|2022-03-01
17435983|Norwegian Seamen's Church|06340459|336770|387061|1|38252661|osgb1000035025308|4|23604226|3|17.9||||Merseyside|L17|Liverpool District||||Religion|Other (Christian)|Ordnance Survey|2022-03-01
17436210|St Anthony of Padua R C Church|06340459|338918|387667|1|38123427|osgb1000035147564|3|23603670|3|32.1||||Merseyside|L18|Liverpool District||||Religion|Roman Catholic (Christian)|Ordnance Survey|2022-03-01
17436218|St Stephen's Presbyterian Church|06340459|339520|388932|1|38168467|osgb1000035211909|4|23602626|3|28||||Merseyside|L15|Liverpool District||||Religion|Presbyterianism (Christian)|Ordnance Survey|2022-03-01
17436225|St Vincent De Paul's R C Church|06340459|334994|389344|1|38132871|osgb1000034932561|6|23603958|3|22.3||||Merseyside|L1|Liverpool District||||Religion|Roman Catholic (Christian)|Ordnance Survey|2022-03-01
17436229|St Peter's Church|06340459|335885|388085|1|38290502|osgb1000034980322|3|23605350|3|9.6||||Merseyside|L8|Liverpool District||||Religion|Not Identified (Christian)|Ordnance Survey|2022-03-01
17436257|St Dunstan's Church|06340459|337358|389541|1|38047720|osgb1000035089193|3|23601686|3|12.4||||Merseyside|L7|Liverpool District||||Religion|Not Identified (Christian)|Ordnance Survey|2022-03-01
17477074|St James' Church|06340459|335278|389051|1|38132845|osgb1000034983761|3|23604608|3|49.1||||Merseyside|L8|Liverpool District||||Religion|Not Identified (Christian)|Ordnance Survey|2022-03-01
18141416|Rc Chapel|06340459|335516|390060|1||osgb1000034984605|4|23603200|3|35.8||||Merseyside|L3|Liverpool District||||Religion|Roman Catholic (Christian)|Ordnance Survey|2022-03-01
18141188|Convent of Our Lady of the Cenacle|06340459|339505|389322|1|38188755|osgb1000035218112|7|23606092|3|40.6||||Merseyside|L15|Liverpool District||||Religion|Roman Catholic (Christian)|Ordnance Survey|2022-03-01
18141208|Chapel (Private)|06340459|338505|387666|1||osgb1000035147843|7|23603670|3|100.9||||Merseyside|L18|Liverpool District||||Religion|Not Identified (Christian)|Ordnance Survey|2022-03-01
18141249|David St Chapel|06340459|336014|387850|1|38270897|osgb1000035024248|6|23601268|3|15.9||||Merseyside|L8|Liverpool District||||Religion|Not Identified (Christian)|Ordnance Survey|2022-03-01
16425948|Sefton Park Medical Centre|05280369|337930|388880|1|38140639|osgb1000035086347|3|23604170|1|18.9||Smithdown Road|Liverpool|Merseyside|L15 2LQ|Liverpool District|01512958700|||||Wilmington Healthcare Ltd|2022-03-01
16425957|The Elms Medical Centre|05280369|336377|387776|1|38149858|osgb1000035024387|4|23604446|1|15.8|The Elms Medical Centre 3|The Elms|Dingle, Liverpool|Merseyside|L8 3SS|Liverpool District|01517275555|||||Wilmington Healthcare Ltd|2022-03-01
16426003|Sandringham Medical Centre|05280369|336562|387617|1||osgb1000035023615|5|23600063|2|25.4|1a|Aigburth Road|Liverpool|Merseyside|L17 4JP|Liverpool District|01517271382|||||Wilmington Healthcare Ltd|2022-03-01
16427855|Dr Jude's Practice|05280369|335390|388162|1|38322079|osgb1000034981472|4|23603470|1|30.6|Dingle Park Practice Riverside Centre for Health|Park Street|Liverpool|Merseyside|L8 6QP|Liverpool District|01512959213|||||Wilmington Healthcare Ltd|2022-03-01
16428938|St James Health Centre|05280369|334995.9|389502.5|1|38065597|osgb1000034931865|13|23601996|1|16||Great George Square|Liverpool|Merseyside|L1 5DZ|Liverpool District|01512953800|||||Wilmington Healthcare Ltd|2022-03-01
16431932|Earle Road Medical Centre|05280369|337421|389520|1|38047721|osgb1000035089415|4|23601482|1|18|131|Earle Road|Liverpool|Merseyside|L7 6HD|Liverpool District|01517337172|||||Wilmington Healthcare Ltd|2022-03-01
16431939|Dr Johnson & Partners|05280369|337980|386753|1|38009450|osgb1000035083417|10|23600228|1|18.9|1|Ashfield Road|Liverpool|Merseyside|L17 0BY|Liverpool District|01517271155|||||Wilmington Healthcare Ltd|2022-03-01
16431946|Dingle Park Practice|05280369|335390|388162|1|38115529|osgb1000034981472|4|23603470|1|30.6|Dingle Park Practice Riverside Centre for Health|Park Street|Liverpool|Merseyside|L8 6QP|Liverpool District|01512959228|||||Wilmington Healthcare Ltd|2022-03-01
16431948|Brownlow Health @ Princes Park|05280369|336657|388680|1|38016281|osgb1000035026715|6|23600492|1|25.5||Bentley Road|Liverpool|Merseyside|L8 0SY|Liverpool District|01512959222|||||Wilmington Healthcare Ltd|2022-03-01
16431949|Student Health Centre|05280369|335955|390262|1|38116428|osgb1000034984750|7|23603497|1|14.9|Maths & Oceanography Building|Peach Street|Liverpool|Merseyside|L69 7ZL|Liverpool District|01512854578|||||Wilmington Healthcare Ltd|2022-03-01
16431951|Fulwood Green Medical Centre|05280369|337716|386296|1||osgb1000035084787|3|23602498|3|10.8|2a|Jericho Lane|Liverpool|Merseyside|L17 5AR|Liverpool District|01517272440|||||Wilmington Healthcare Ltd|2022-03-01
16431961|Abercromby Family Practice|05280369|336150|389565|1|38068296|osgb1000035030465|5|23602085|1|31||Grove Street|Edge Hill, Liverpool|Merseyside|L7 7HG|Liverpool District|01512953888|||||Wilmington Healthcare Ltd|2022-03-01
16431964|Dunstan Village Group Practice|05280369|337421|389520|1|38047721|osgb1000035089415|4|23601482|1|18|131|Earle Road|Liverpool|Merseyside|L7 6HD|Liverpool District|01517343535|||||Wilmington Healthcare Ltd|2022-03-01
16434160|Lance Lane Medical Centre|05280369|339465|389159|1|38087353|osgb1000035218158|4|23602626|1|13.8|19|Lance Lane|Liverpool|Merseyside|L15 6TS|Liverpool District|01517372882|||||Wilmington Healthcare Ltd|2022-03-01
16434162|Penny Lane Surgery|05280369|339244|388453|1|38140128|osgb1000035214611|3|23604168|1|22.7|7|Smithdown Place|Liverpool|Merseyside|L15 9EH|Liverpool District|01517332800|||||Wilmington Healthcare Ltd|2022-03-01
16434163|Greenbank Drive Surgery|05280369|338223|388483|1|38066285|osgb1000035151809|5|23602018|1|40|8|Greenbank Drive|Sefton Park, Liverpool|Merseyside|L17 1AW|Liverpool District|01517335703|||||Wilmington Healthcare Ltd|2022-03-01
16434166|Greenbank Road Surgery|05280369|338531.2|388382.6|1|38282970|osgb1000002107432506|5|23602021|1|15.7|1b|Greenbank Road|Liverpool|Merseyside|L18 1HG|Liverpool District|01517333224|||||Wilmington Healthcare Ltd|2022-03-01
16438691|Windsor House|05280372|335532|389153|1|38154766|osgb1000034983017|3|23604605|1|23.7|Windsor House 40|Upper Parliament Street|Liverpool|Merseyside|L8 7LF|Liverpool District|01512505300|||||Wilmington Healthcare Ltd|2022-03-01
