lat,lng,date,street_id,street_name
53.373412,-2.934712,2021-01,906784,On or near Pedestrian Subway
53.400743,-2.941042,2021-01,910301,On or near Bannerman Street
53.400462,-2.911240,2021-01,909826,On or near Olive Mount Road
53.404521,-2.983077,2021-01,910318,On or near Old Post Office Place
53.409038,-2.985799,2021-01,911850,On or near Dale Street (queensway)
53.403765,-2.990791,2021-01,910519,On or near Parking Area
53.404218,-2.987117,2021-01,910567,On or near Bus/coach Station
53.406618,-2.983878,2021-01,912084,On or near Supermarket
53.388969,-2.927099,2021-01,908905,On or near Hollybank Road
53.405861,-2.991682,2021-01,911897,On or near Fenwick Street
53.390783,-2.982355,2021-01,908703,On or near Granary Way
53.405272,-2.964818,2021-01,910501,On or near Further/higher Educational Building
53.386794,-2.962175,2021-01,908591,On or near Mountview Close
53.403950,-2.992360,2021-01,910538,On or near Strand Street
53.410825,-2.966193,2021-01,911926,On or near Shepherd Street
53.396573,-2.929445,2021-01,910008,On or near Wellington Road
53.403736,-2.976937,2021-01,910358,On or near Renshaw Street
53.391842,-2.956003,2021-01,908825,On or near Jermyn Street
53.389063,-2.918410,2021-01,908884,On or near Cramond Avenue
53.403084,-2.926729,2021-01,910046,On or near Celedine Close
53.406368,-2.978216,2021-01,912081,On or near Bolton Street
53.402763,-2.974929,2021-01,910363,On or near Oldham Street
53.397153,-2.942587,2021-01,910204,On or near Tunstall Street
53.400429,-2.957880,2021-01,910145,On or near Crown Street
53.406368,-2.978216,2021-01,912081,On or near Bolton Street
53.406368,-2.978216,2021-01,912081,On or near Bolton Street
53.411790,-2.986735,2021-01,911824,On or near Marybone
53.398552,-2.922284,2021-01,910076,On or near Grange Terrace
53.400702,-2.965271,2021-01,910429,On or near Myrtle Parade
53.407294,-2.984676,2021-01,911876,On or near Nightclub
53.410825,-2.966193,2021-01,911926,On or near Shepherd Street
53.397747,-2.963866,2021-01,910414,On or near Sandon Street
53.403614,-2.942805,2021-01,910199,On or near Wavertree Boulevard
53.387756,-2.967760,2021-01,908566,On or near Upper Park Street
53.403765,-2.990791,2021-01,910519,On or near Parking Area
53.408976,-2.975899,2021-01,912042,On or near Back Bridport Street
53.392650,-2.947134,2021-01,908761,On or near Lime Grove
53.401057,-2.918021,2021-01,910070,On or near North Drive
53.384584,-2.964305,2021-01,908586,On or near Park Road
53.383976,-2.948174,2021-01,908730,On or near South Albert Road
53.398303,-2.917361,2021-01,909843,On or near Hills Place
53.402353,-2.985464,2021-01,910560,On or near Duke Street Lane
53.389572,-2.976613,2021-01,908707,On or near Upper Mann Street
53.400462,-2.911240,2021-01,909826,On or near Olive Mount Road
53.399999,-2.980988,2021-01,910308,On or near Vincent Court
53.403998,-2.994136,2021-01,910545,On or near Mann Island
53.410047,-2.986620,2021-01,911834,On or near Hatton Garden
53.384322,-2.952091,2021-01,908751,On or near Ullet Road
53.407200,-2.992766,2021-01,911841,On or near Exchange Passage West
53.381137,-2.941211,2021-01,908749,On or near Aigburth Drive
53.393773,-2.981626,2021-01,910328,On or near Dwerryhouse Street
53.402249,-2.982769,2021-01,910302,On or near Parking Area
53.380908,-2.969800,2021-01,908620,On or near Gosford Street
53.396263,-2.966284,2021-01,910404,On or near Upper Parliament Street
53.406242,-2.977115,2021-01,912078,On or near Hilbre Street
53.406242,-2.977115,2021-01,912078,On or near Hilbre Street
53.390086,-2.923214,2021-01,908935,On or near Crawford Avenue
53.408976,-2.975899,2021-01,912042,On or near Back Bridport Street
53.387712,-2.973157,2021-01,908577,On or near Rutter Street
53.390086,-2.923214,2021-01,908935,On or near Crawford Avenue
53.407939,-2.977364,2021-01,912044,On or near Shopping Area
53.410047,-2.986620,2021-01,911834,On or near Hatton Garden
53.398115,-2.980463,2021-01,910309,On or near Upper Frederick Street
53.394000,-2.964834,2021-01,910450,On or near Gibson Road
53.393773,-2.981626,2021-01,910328,On or near Dwerryhouse Street
53.402122,-2.980826,2021-01,910311,On or near Slater Place
53.382051,-2.949515,2021-01,908737,On or near Parkfield Road
53.393533,-2.946823,2021-01,910291,On or near Laurel Grove
53.407213,-2.979333,2021-01,912015,On or near Pedestrian Subway
53.395949,-2.981541,2021-01,910319,On or near Norfolk Street
53.393695,-2.928480,2021-01,910085,On or near Avondale Road
53.389370,-2.922882,2021-01,908894,On or near Trentham Avenue
53.402122,-2.980826,2021-01,910311,On or near Slater Place
53.390110,-2.943168,2021-01,908767,On or near Brompton Avenue
53.395949,-2.981541,2021-01,910319,On or near Norfolk Street
53.380396,-2.942758,2021-01,908854,On or near Livingston Drive North
53.410687,-2.988635,2021-01,911880,On or near Further/higher Educational Building
53.380396,-2.942758,2021-01,908854,On or near Livingston Drive North
53.406833,-2.957453,2021-01,912287,On or near Back Irvine Street
53.393773,-2.981626,2021-01,910328,On or near Dwerryhouse Street
53.407679,-2.958434,2021-01,912233,On or near Mount Vernon Green
53.386017,-2.922930,2021-01,908913,On or near Croydon Avenue
53.395382,-2.944864,2021-01,910234,On or near Lesseps Road
53.396225,-2.981954,2021-01,910307,On or near Watkinson Street
53.400732,-2.981471,2021-01,910320,On or near Lydia Ann Street
53.401868,-2.961207,2021-01,910123,On or near Melville Place
53.399067,-2.967445,2021-01,910411,On or near St Bride Street
53.396962,-2.940643,2021-01,910256,On or near Dorset Avenue
53.398906,-2.938068,2021-01,909951,On or near Salisbury Road
53.399528,-2.979247,2021-01,910349,On or near Further/higher Educational Building
53.394224,-2.979306,2021-01,910317,On or near Parliament Street
53.401388,-2.934468,2021-01,909957,On or near Picton Grove
53.404365,-2.976861,2021-01,910355,On or near Upper Newington
53.394333,-2.936629,2021-01,909938,On or near Woodcroft Road
53.411412,-2.988998,2021-01,911857,On or near Cockspur Street
53.406242,-2.977115,2021-01,912078,On or near Hilbre Street
53.396263,-2.966284,2021-01,910404,On or near Upper Parliament Street
53.378837,-2.945610,2021-01,906927,On or near Livingston Drive
53.410137,-2.970209,2021-01,912004,On or near Bayhorse Lane
53.389814,-2.955582,2021-01,908817,On or near Princes Gate West
53.411843,-2.964892,2021-01,911983,On or near Erskine Street
53.407953,-2.983247,2021-01,912053,On or near Parking Area
53.409562,-2.975672,2021-01,912020,On or near Wilde Street
53.407816,-2.973721,2021-01,911929,On or near Russell Street
53.401209,-2.942331,2021-01,910282,On or near Alexandra Road
53.406227,-2.962418,2021-01,912087,On or near Brownlow Hill
53.373412,-2.934712,2021-01,906784,On or near Pedestrian Subway
53.405042,-2.991859,2021-01,910543,On or near Moor Street
53.390164,-2.956687,2021-01,908839,On or near Back Kelvin Grove
53.388113,-2.958100,2021-01,908780,On or near South Street
53.395915,-2.964742,2021-01,910406,On or near Upper Hampton Street
53.395915,-2.964742,2021-01,910406,On or near Upper Hampton Street
53.409636,-2.988536,2021-01,911852,On or near Cunliffe Street
53.411775,-2.987472,2021-01,911812,On or near Pickop Street
53.392575,-2.931508,2021-01,908968,On or near Claremont Road
53.406368,-2.978216,2021-01,912081,On or near Bolton Street
53.399528,-2.979247,2021-01,910349,On or near Further/higher Educational Building
53.393901,-2.947989,2021-01,910289,On or near Orange Grove
53.396263,-2.966284,2021-01,910404,On or near Upper Parliament Street
53.410595,-2.971272,2021-01,911974,On or near Gildart Street
53.385080,-2.966361,2021-01,908602,On or near Marshside Close
53.387543,-2.968522,2021-01,908565,On or near Upper Park Street
53.394333,-2.936629,2021-01,909938,On or near Woodcroft Road
53.393454,-2.936309,2021-01,910088,On or near Supermarket
53.392834,-2.934070,2021-01,908960,On or near Smithdown Road
53.401094,-2.981133,2021-01,910323,On or near Henry Street
53.405771,-2.981888,2021-01,910343,On or near Shopping Area
53.387346,-2.962939,2021-01,908725,On or near Police Station
53.393454,-2.936309,2021-01,910088,On or near Supermarket
53.402756,-2.983473,2021-01,910325,On or near Gradwell Street
53.396527,-2.966966,2021-01,910480,On or near Back Egerton Street South
53.396415,-2.938149,2021-01,909967,On or near Langton Road
53.406138,-2.990771,2021-01,911906,On or near Castle Street
53.382966,-2.946318,2021-01,908746,On or near Bertram Road
53.404218,-2.987117,2021-01,910567,On or near Bus/coach Station
53.409277,-2.978599,2021-01,912030,On or near Lime Street
53.401872,-2.988220,2021-01,910564,On or near Canning Place
53.400986,-2.935302,2021-01,909968,On or near Kempton Road
53.399241,-2.913320,2021-01,909808,On or near Wellstead Close
53.400897,-2.986528,2021-01,910548,On or near Liver Street
53.411282,-2.966383,2021-01,911915,On or near Parking Area
53.403765,-2.990791,2021-01,910519,On or near Parking Area
53.369929,-2.909792,2021-01,906678,On or near Incemore Road
53.369929,-2.909792,2021-01,906678,On or near Incemore Road
53.402353,-2.985464,2021-01,910560,On or near Duke Street Lane
53.390978,-2.974991,2021-01,908711,On or near Prince William Street
53.391995,-2.950292,2021-01,908758,On or near Seacole Close
53.411790,-2.986735,2021-01,911824,On or near Marybone
53.399960,-2.970308,2021-01,910490,On or near Conference/exhibition Centre
53.381137,-2.941211,2021-01,908749,On or near Aigburth Drive
53.407472,-2.987162,2021-01,911870,On or near Nightclub
53.384584,-2.964305,2021-01,908586,On or near Park Road
53.408546,-2.973452,2021-01,911965,On or near Hart Street
53.407963,-2.988662,2021-01,911851,On or near Dale Street
53.405796,-2.990899,2021-01,910570,On or near Supermarket
53.396503,-2.941790,2021-01,910218,On or near Richardson Street
53.396263,-2.966284,2021-01,910404,On or near Upper Parliament Street
53.384194,-2.946826,2021-01,908742,On or near Linnet Lane
53.400141,-2.960220,2021-01,910153,On or near Brampton Drive
53.410687,-2.988635,2021-01,911880,On or near Further/higher Educational Building
53.381831,-2.964619,2021-01,908587,On or near Park Hill Road
53.410687,-2.988635,2021-01,911880,On or near Further/higher Educational Building
53.410687,-2.988635,2021-01,911880,On or near Further/higher Educational Building
53.410047,-2.986620,2021-01,911834,On or near Hatton Garden
53.398451,-2.956858,2021-01,910146,On or near Crown Street
53.392294,-2.928329,2021-01,908931,On or near Garmoyle Road
53.390220,-2.939486,2021-01,908970,On or near Buckingham Avenue
53.411775,-2.987472,2021-01,911812,On or near Pickop Street
53.392294,-2.928329,2021-01,908931,On or near Garmoyle Road
53.393533,-2.946823,2021-01,910291,On or near Laurel Grove
53.399986,-2.928602,2021-01,904205,On or near Carno Street
53.399069,-2.924055,2021-01,910038,On or near Glynn Street
53.407963,-2.988662,2021-01,911851,On or near Dale Street
53.401304,-2.977513,2021-01,910380,On or near Colquitt Street
53.398035,-2.929898,2021-01,910030,On or near Mystery Close
53.389269,-2.925436,2021-01,908903,On or near Mossley Avenue
53.397361,-2.948081,2021-01,910259,On or near Danube Street
53.386679,-2.923305,2021-01,908895,On or near Streatham Avenue
53.396158,-2.945618,2021-01,910193,On or near Wendell Street
53.398526,-2.963192,2021-01,910452,On or near Falkner Square
53.394478,-2.935249,2021-01,910001,On or near Supermarket
